"type";"question";"response";"complexity";"saf";"nli";"sim";"relevancy";"faithfulness";"model
"grafo";"Posso me recusar a informar minha pressão arterial/temperatura na entrada de uma empresa?";"{'resposta': 'A coleta de dados sensíveis, como pressão arterial ou temperatura, só pode ocorrer com consentimento específico do titular, salvo exceções legais. O titular pode recusar o fornecimento desses dados, pois ""o tratamento de dados pessoais sensíveis somente poderá ocorrer nas seguintes hipóteses: I - quando o titular ou seu responsável legal consentir, de forma específica e destacada, para finalidades específicas"". Assim, a recusa é legítima, exceto se houver obrigação legal ou regulatória que justifique a exigência.', 'resposta_completa': 'A Lei Geral de Proteção de Dados (LGPD) define que dados referentes à saúde, como pressão arterial e temperatura, são considerados dados pessoais sensíveis. O tratamento desses dados só é permitido mediante consentimento específico do titular, salvo hipóteses legais como obrigação regulatória, proteção da vida ou tutela da saúde por profissionais da área. O titular pode manifestar oposição e recusar o fornecimento desses dados ao acessar uma empresa, salvo se houver norma legal que obrigue a coleta. O trecho-chave do art. 11 da LGPD reforça: ""O tratamento de dados pessoais sensíveis somente poderá ocorrer nas seguintes hipóteses: I - quando o titular ou seu responsável legal consentir, de forma específica e destacada, para finalidades específicas"". Portanto, a recusa é legítima, salvo exceções expressas em lei.', 'chunks': ['b47f4387', 'e9106279'], 'trecho_chave': 'O tratamento de dados pessoais sensíveis somente poderá ocorrer nas seguintes hipóteses: I - quando o titular ou seu responsável legal consentir, de forma específica e destacada, para finalidades específicas', 'percentual': ['80', '20']}";"0.79";"0.55";"0.56";"0.53";"1.00";"1.00";"gpt"
"grafo";"A academia pode exigir atestado médico e guardar cópia no meu cadastro?";"{'resposta': 'A exigência de atestado médico para uso da academia do condomínio envolve tratamento de dado pessoal sensível, conforme art. 5º da LGPD. O armazenamento só é permitido com consentimento específico do titular e para finalidade legítima, conforme art. 11 da LGPD.', 'resposta_completa': 'A apresentação e o armazenamento de atestado médico pela administração da academia do condomínio configuram tratamento de dado pessoal sensível, pois envolvem informações sobre saúde (art. 5º, II, LGPD). Segundo o art. 11 da LGPD, esse tratamento só pode ocorrer mediante consentimento específico e destacado do titular para finalidade determinada, ou em hipóteses excepcionais, como proteção da vida ou incolumidade física. O condomínio deve informar claramente a finalidade, garantir a segurança dos dados e limitar o acesso, conforme os princípios da LGPD (art. 6º). O consentimento deve ser livre, informado e inequívoco, e o titular pode solicitar acesso, correção ou eliminação dos dados. O armazenamento deve ser seguro e restrito ao mínimo necessário para a finalidade proposta.', 'chunks': ['e9106279', 'b47f4387'], 'trecho_chave': 'Art. 5º ... II - dado pessoal sensível: dado pessoal sobre ... saúde ...; Art. 11 O tratamento de dados pessoais sensíveis somente poderá ocorrer ... quando o titular ... consentir, de forma específica e destacada, para finalidades específicas;', 'percentual': ['60', '40']}";"0.85";"0.63";"0.54";"0.42";"1.00";"0.50";"gpt"
"grafo";"Minha empresa pode exigir teste de HIV como condição para a contratação?";"{'resposta': 'A exigência de teste de HIV para contratação envolve tratamento de dado pessoal sensível, permitido apenas com consentimento específico e destacado do candidato ou em hipóteses legais restritas, conforme art. 11 da LGPD. O trecho-chave: ""O tratamento de dados pessoais sensíveis somente poderá ocorrer nas seguintes hipóteses: I - quando o titular ou seu responsável legal consentir, de forma específica e destacada, para finalidades específicas"".', 'resposta_completa': 'A empresa não pode exigir teste de HIV como condição para contratação, salvo se houver consentimento específico e destacado do candidato, ou se houver obrigação legal expressa. O artigo 11 da LGPD (Lei Geral de Proteção de Dados) determina que o tratamento de dados pessoais sensíveis, como informações sobre saúde, só pode ocorrer mediante consentimento do titular para finalidades específicas, ou em hipóteses excepcionais previstas em lei, como cumprimento de obrigação legal, tutela da saúde por profissionais da área ou proteção da vida. A exigência indiscriminada de teste de HIV viola a proteção de dados sensíveis e pode configurar discriminação, sendo vedada pela legislação trabalhista e de proteção de dados.', 'chunks': ['b47f4387'], 'trecho_chave': 'O tratamento de dados pessoais sensíveis somente poderá ocorrer nas seguintes hipóteses: I - quando o titular ou seu responsável legal consentir, de forma específica e destacada, para finalidades específicas', 'percentual': ['100']}";"0.90";"0.57";"0.97";"0.50";"1.00";"0.50";"gpt"
"grafo";"O hospital pode recusar atendimento de emergência se eu não fornecer meu CPF?";"{'resposta': 'A exigência do CPF não pode ser obstáculo ao atendimento de emergência em hospital. O tratamento de dados pessoais, como o CPF, só pode ser exigido se indispensável à proteção da vida ou incolumidade física, conforme art. 7º, VII, da LGPD. O hospital deve priorizar o atendimento.', 'resposta_completa': 'O hospital não pode recusar atendimento de emergência pela ausência de fornecimento do CPF. Segundo o art. 7º, VII, da LGPD, o tratamento de dados pessoais é permitido quando necessário para a proteção da vida ou da incolumidade física do titular ou de terceiro. Em situações emergenciais, a prioridade é o atendimento à saúde e à vida, não podendo a exigência de CPF ser um impeditivo. O hospital pode solicitar o CPF posteriormente, mas não condicionar o atendimento imediato à sua apresentação. O direito à saúde e à vida prevalece sobre exigências administrativas de identificação, especialmente em situações de emergência.', 'chunks': ['a57ec09b', 'b47f4387'], 'trecho_chave': 'VII - para a proteção da vida ou da incolumidade física do titular ou de terceiro;', 'percentual': ['70', '30']}";"0.83";"0.47";"1.00";"0.74";"1.00";"1.00";"gpt"
"grafo";"A empresa de telefonia pode vender a minha foto de cadastro?";"{'resposta': 'A empresa de telefonia não pode vender sua foto de cadastro para fins comerciais sem seu consentimento livre, informado e inequívoco. O tratamento de dados pessoais, como imagem, exige finalidade legítima e respeito aos princípios da LGPD, conforme art. 6º e art. 5º.', 'resposta_completa': 'A venda da foto de cadastro por uma empresa de telefonia para terceiros, com finalidade comercial, configura tratamento de dado pessoal identificável. Segundo a LGPD, art. 5º, dado pessoal é qualquer informação relacionada a pessoa natural identificada ou identificável, incluindo fotos. O art. 6º exige que o tratamento observe princípios como finalidade, adequação, necessidade e transparência. Além disso, o art. 5º define consentimento como manifestação livre, informada e inequívoca do titular para finalidade determinada. Portanto, a empresa só pode compartilhar ou vender sua foto mediante consentimento específico e informado. O uso sem consentimento viola a legislação e pode gerar sanções administrativas e direito à reparação de danos.', 'chunks': ['9c7da499', 'e9106279'], 'trecho_chave': 'XII - consentimento: manifestação livre, informada e inequívoca pela qual o titular concorda com - tratamento de seus dados pessoais para uma finalidade determinada', 'percentual': ['60', '40']}";"0.82";"0.85";"0.54";"0.63";"1.00";"1.00";"gpt"
"grafo";"O banco pode compartilhar meu score de crédito com outros bancos sem minha autorização?";"{'resposta': 'O compartilhamento do score de crédito entre bancos ou instituições financeiras pode ocorrer para proteção do crédito, conforme previsto na legislação. Contudo, o tratamento desses dados deve respeitar os direitos do titular e as hipóteses legais, como o art. 7º, X da LGPD.', 'resposta_completa': ""O banco pode compartilhar o score de crédito do titular com outros bancos ou instituições financeiras sem autorização expressa, desde que o objetivo seja a proteção do crédito, conforme o art. 7º, X da Lei Geral de Proteção de Dados (LGPD). O tratamento e o compartilhamento de dados pessoais para proteção do crédito são exceções à necessidade de consentimento do titular, desde que observadas as demais disposições legais e os direitos fundamentais do titular, como liberdade, intimidade e privacidade. O trecho-chave que fundamenta essa resposta é: 'Art. 7º O tratamento de dados pessoais somente poderá ser realizado nas seguintes hipóteses: ... X - para a proteção do crédito, inclusive quanto ao disposto na legislação pertinente.' Portanto, o banco é responsável pelo tratamento dos dados e deve garantir a segurança e o uso adequado, informando o titular sobre o tratamento, conforme previsto na LGPD."", 'chunks': ['a57ec09b', 'e9106279'], 'trecho_chave': 'Art. 7º O tratamento de dados pessoais somente poderá ser realizado nas seguintes hipóteses: ... X - para a proteção do crédito, inclusive quanto ao disposto na legislação pertinente.', 'percentual': ['80', '20']}";"0.68";"0.80";"0.54";"0.70";"1.00";"1.00";"gpt"
"grafo";"Posso exigir que o e-commerce apague todos os meus dados depois de uma compra?";"{'resposta': 'O titular pode solicitar ao e-commerce a eliminação de seus dados pessoais após a compra, conforme art. 18 da LGPD. Contudo, a exclusão não é absoluta, pois o controlador pode manter dados para cumprir obrigações legais ou regulatórias, conforme art. 16 da Lei.', 'resposta_completa': 'A Lei Geral de Proteção de Dados (LGPD) assegura ao titular o direito de solicitar a eliminação de seus dados pessoais tratados com consentimento, inclusive em plataformas de e-commerce, após a conclusão da compra. O art. 18 da LGPD prevê expressamente esse direito. No entanto, a eliminação não é irrestrita: o controlador pode conservar dados para cumprimento de obrigação legal ou regulatória, estudo por órgão de pesquisa (com anonimização), transferência a terceiros conforme requisitos legais ou uso exclusivo do controlador, desde que anonimizados e sem acesso de terceiros. Assim, a solicitação de exclusão deve ser feita formalmente ao controlador, que analisará se há fundamento legal para manter parte dos dados. O trecho-chave do art. 18 reforça: ""VI - eliminação dos dados pessoais tratados com o consentimento do titular, exceto nas hipóteses previstas no art. 16 desta Lei"".', 'chunks': ['f9e4ad69'], 'trecho_chave': 'VI - eliminação dos dados pessoais tratados com o consentimento do titular, exceto nas hipóteses previstas no art. 16 desta Lei', 'percentual': ['100']}";"0.66";"0.68";"0.98";"0.74";"1.00";"1.00";"gpt"
"grafo";"A loja pode me pedir CPF como condição para fazer uma compra em dinheiro?";"{'resposta': 'A loja só pode exigir o CPF na compra em dinheiro se houver justificativa legal, como obrigação fiscal. Segundo a LGPD, a coleta de dados pessoais deve ser limitada ao mínimo necessário e informada ao titular, conforme o princípio da necessidade e finalidade.', 'resposta_completa': 'A exigência do CPF em compras pagas em dinheiro só é permitida se houver respaldo legal, como obrigações fiscais específicas. A Lei Geral de Proteção de Dados (LGPD) determina que a coleta de dados pessoais, como o CPF, deve observar os princípios da finalidade e necessidade, ou seja, só pode ser feita para propósitos legítimos, específicos e informados ao titular, e limitada ao mínimo necessário para atingir essa finalidade. O consumidor tem direito de ser informado sobre a finalidade da coleta e as consequências da recusa, conforme art. 6º e art. 18 da LGPD. Caso não haja obrigação legal ou justificativa legítima, a loja não pode condicionar a venda ao fornecimento do CPF.', 'chunks': ['9c7da499', 'f9e4ad69'], 'trecho_chave': 'III - necessidade: limitação do tratamento ao mínimo necessário para a realização de suas finalidades, com abrangência dos dados pertinentes, proporcionais e não excessivos em relação às finalidades do tratamento de dados'}";"0.92";"0.86";"0.21";"0.54";"1.00";"1.00";"gpt"
"grafo";"Posso ser incluído em lista negra de inadimplentes sem ser notificado?";"{'resposta': 'A inclusão de dados pessoais em lista de inadimplentes exige notificação prévia ao titular, pois o tratamento de dados para proteção do crédito deve respeitar direitos fundamentais. O consentimento e a informação clara são requisitos essenciais, conforme a legislação vigente.', 'resposta_completa': 'A legislação brasileira, especialmente a Lei Geral de Proteção de Dados (LGPD), determina que o tratamento de dados pessoais, inclusive para proteção do crédito, deve observar direitos fundamentais do titular. O artigo 7º da LGPD prevê que o tratamento pode ocorrer para proteção do crédito, mas não afasta a necessidade de notificação prévia ao titular antes da inclusão em cadastros negativos. O consentimento e a informação clara sobre a finalidade e consequências do tratamento são obrigatórios. Assim, o responsável pela administração de dados ou instituição credora deve comunicar o titular antes de efetuar o registro em sistemas de proteção ao crédito, garantindo o direito de defesa e correção de eventuais equívocos.', 'chunks': ['a57ec09b', 'e9106279'], 'trecho_chave': 'Art. 7º O tratamento de dados pessoais somente poderá ser realizado nas seguintes hipóteses: ... X - para a proteção do crédito, inclusive quanto ao disposto na legislação pertinente.'}";"0.83";"0.57";"0.54";"0.54";"1.00";"1.00";"gpt"
"grafo";"O aplicativo de delivery pode vender meu endereço residencial para anunciantes?";"{'resposta': 'A venda ou compartilhamento do endereço residencial por aplicativo de delivery para anunciantes só pode ocorrer se respeitar os princípios da LGPD, como finalidade, necessidade e transparência. O titular deve ser informado sobre o uso e compartilhamento dos dados, conforme art. 6º e art. 9º da lei.', 'resposta_completa': 'O aplicativo de delivery não pode vender ou compartilhar seu endereço residencial para anunciantes sem observar os princípios da Lei Geral de Proteção de Dados (LGPD), especialmente os princípios da finalidade, necessidade e transparência (art. 6º). O tratamento de dados pessoais deve ser realizado para propósitos legítimos, específicos e informados ao titular, sendo vedado o tratamento posterior de forma incompatível com essas finalidades. Além disso, o titular tem direito ao acesso facilitado às informações sobre o tratamento de seus dados, incluindo informações sobre o uso compartilhado e a finalidade desse compartilhamento (art. 9º). Portanto, a venda ou compartilhamento do endereço residencial para fins comerciais só é permitida se houver consentimento informado do titular e observância dos requisitos legais.', 'chunks': ['9c7da499', 'ffc54078'], 'trecho_chave': 'Art. 6º As atividades de tratamento de dados pessoais deverão observar a boa-fé e os seguintes princípios: I - finalidade: realização do tratamento para propósitos legítimos, específicos, explícitos e informados ao titular, sem possibilidade de tratamento posterior de forma incompatível com essas finalidades; [...] VI - transparência: garantia, aos titulares, de informações claras, precisas e facilmente acessíveis sobre a realização do tratamento e os respectivos agentes de tratamento, observados os segredos comercial e industrial.', 'percentual': ['60', '40']}";"0.76";"0.81";"0.55";"0.52";"1.00";"1.00";"gpt"
"grafo";"Posso pedir para um site apagar meu cadastro e ele se recusar alegando ""interesse legítimo""?";"{'resposta': 'O titular pode solicitar a eliminação de seus dados pessoais, mas o site pode recusar com base em legítimo interesse apenas se demonstrar finalidade legítima e que não prevalecem direitos e liberdades fundamentais do titular, conforme art. 7º, IX e art. 10 da LGPD.', 'resposta_completa': 'A Lei Geral de Proteção de Dados (LGPD) assegura ao titular o direito de solicitar a eliminação de seus dados pessoais (art. 18, VI). Contudo, o controlador pode recusar a exclusão se houver base legal, como o legítimo interesse (art. 7º, IX), desde que demonstre que a manutenção dos dados atende a uma finalidade legítima, não fere direitos e liberdades fundamentais do titular e respeita suas legítimas expectativas (art. 10). O site deve justificar concretamente o interesse legítimo e manter registro dessa decisão (art. 37). Caso não consiga demonstrar esses requisitos, a recusa pode ser considerada indevida.', 'chunks': ['f9e4ad69', 'a57ec09b', '105471be', 'e419ecac'], 'trecho_chave': 'Art. 7º [...] IX - quando necessário para atender aos interesses legítimos do controlador ou de terceiro, exceto no caso de prevalecerem direitos e liberdades fundamentais do titular que exijam a proteção dos dados pessoais.'}";"0.73";"0.81";"0.55";"0.79";"0.83";"1.00";"gpt"
"grafo";"A empresa pode continuar me mandando e-mail de marketing após eu pedir para sair da lista?";"{'resposta': 'Após a solicitação de exclusão, a empresa deve cessar o envio de e-mails de marketing, pois o tratamento de dados pessoais deve ser encerrado com a revogação do consentimento, conforme art. 15, III, da LGPD. O envio contínuo viola o direito do titular.', 'resposta_completa': 'A empresa não pode continuar enviando e-mails de marketing após o titular manifestar a vontade de sair da lista. Segundo o art. 15, III, da LGPD, o tratamento de dados pessoais deve ser encerrado quando houver comunicação do titular, inclusive no exercício do direito de revogação do consentimento. O envio contínuo de e-mails após a revogação do consentimento caracteriza tratamento de dados em desconformidade com a legislação, podendo gerar responsabilização e obrigação de reparação de danos. O titular tem direito à liberdade, intimidade e privacidade, e a empresa deve respeitar a manifestação de vontade do titular, eliminando os dados utilizados para fins de marketing, salvo se houver outra base legal expressa para manutenção, o que não se aplica ao marketing digital.', 'chunks': ['2c784e52', 'f9e4ad69'], 'trecho_chave': 'Art. 15 O término do tratamento de dados pessoais ocorrerá nas seguintes hipóteses: ... III - comunicação do titular, inclusive no exercício de seu direito de revogação do consentimento conforme disposto no § 5º do art. 8º desta Lei'}";"0.87";"0.57";"0.99";"0.68";"1.00";"1.00";"gpt"
"grafo";"O cartão de fidelidade de supermercado pode mapear todos os meus hábitos de consumo?";"{'resposta': 'O cartão de fidelidade de supermercado pode mapear hábitos de consumo, pois registra compras associadas ao titular. O tratamento desses dados deve observar princípios como finalidade, necessidade e transparência, conforme art. 6º da LGPD. O titular pode solicitar revisão de decisões automatizadas.', 'resposta_completa': 'O uso do cartão de fidelidade em supermercados permite o registro detalhado das compras do consumidor, possibilitando o mapeamento de seus hábitos de consumo. Segundo o art. 6º da LGPD, o tratamento desses dados deve respeitar princípios como finalidade (uso para propósitos legítimos e informados), necessidade (limitação ao mínimo necessário) e transparência (informações claras ao titular). Além disso, o art. 20 garante ao titular o direito de solicitar revisão de decisões tomadas unicamente com base em tratamento automatizado de dados pessoais, como perfis de consumo. Portanto, o supermercado pode coletar e analisar dados, mas deve cumprir as obrigações legais de proteção, informação e revisão, assegurando os direitos do consumidor.', 'chunks': ['9c7da499', 'd864f83b'], 'trecho_chave': 'Art. 6º As atividades de tratamento de dados pessoais deverão observar a boa-fé e os seguintes princípios: I - finalidade... III - necessidade... VI - transparência... Art. 20 O titular dos dados tem direito a solicitar revisão, por pessoa natural, de decisões tomadas unicamente com base em tratamento automatizado de dados pessoais que afetem seus interesses, inclusive de decisões destinadas a definir o seu perfil pessoal, profissional, de consumo e de crédito ou os aspectos de sua personalidade.', 'percentual': ['70', '30']}";"0.85";"0.63";"0.54";"0.48";"1.00";"1.00";"gpt"
"grafo";"Posso ser cobrado por serviços a mais se não aceitar o compartilhamento dos meus dados?";"{'resposta': 'A legislação exige que o controlador informe ao titular sobre a possibilidade de não fornecer consentimento e as consequências da negativa, mas não autoriza cobrança adicional por recusa ao compartilhamento de dados. O titular tem direito à liberdade e privacidade.', 'resposta_completa': 'A Lei Geral de Proteção de Dados (LGPD) determina que o controlador deve informar ao titular sobre a possibilidade de não fornecer consentimento e as consequências dessa negativa (art. 18, VIII). No entanto, não há previsão legal que permita ao condomínio ou ao controlador impor cobrança adicional, diferenciação de preços ou taxas extras caso o titular recuse o compartilhamento de seus dados pessoais. O direito à liberdade, intimidade e privacidade do titular deve ser assegurado, conforme art. 18 e art. 4d9abb51. Portanto, a imposição de valores extras por recusa de consentimento não encontra respaldo na legislação vigente.', 'chunks': ['f9e4ad69', '4d9abb51'], 'trecho_chave': 'VIII - informação sobre a possibilidade de não fornecer consentimento e sobre as consequências da negativa;', 'percentual': ['80', '20']}";"0.72";"0.79";"0.54";"0.62";"1.00";"1.00";"gpt"
"grafo";"Posso usar a foto de perfil do Facebook de alguém para criar um meme?";"{'resposta': 'A utilização da foto de perfil do Facebook de terceiros para criar memes sem consentimento pode violar direitos de privacidade, imagem e autodeterminação informativa, conforme a LGPD. O consentimento do titular é requisito essencial para tratamento de dados pessoais, incluindo imagens.', 'resposta_completa': 'O uso da foto de perfil de alguém em redes sociais como o Facebook para criar memes ou conteúdos humorísticos caracteriza tratamento de dado pessoal, pois a imagem permite identificar o titular. Segundo a LGPD, o tratamento de dados pessoais, incluindo reprodução e divulgação de imagens, exige consentimento livre, informado e inequívoco do titular para finalidade determinada (art. 5º, XII). O respeito à privacidade, à autodeterminação informativa e à inviolabilidade da imagem são fundamentos expressos da legislação (art. 2º, I, II e IV). O uso não autorizado pode gerar responsabilidade civil e obrigação de reparação de danos. Portanto, a publicação de memes com fotos de terceiros sem autorização viola direitos fundamentais e pode ser considerada ilícita.', 'chunks': ['e9106279', '941201b9'], 'trecho_chave': 'consentimento: manifestação livre, informada e inequívoca pela qual o titular concorda com tratamento de seus dados pessoais para uma finalidade determinada'}";"0.86";"0.62";"0.54";"0.70";"1.00";"0.50";"gpt"
"grafo";"Uma empresa pode me mandar mensagem no WhatsApp sem eu ter dado meu número a ela?";"{'resposta': 'O envio de mensagem por empresa no WhatsApp sem consentimento do titular e sem fornecimento do número pode violar direitos de liberdade, intimidade e privacidade, conforme obrigação de garantir titularidade dos dados pessoais e necessidade de consentimento explícito.', 'resposta_completa': 'O envio de mensagens por empresa no WhatsApp, utilizando número obtido sem consentimento do titular, pode configurar tratamento inadequado de dados pessoais. A legislação exige que o tratamento de dados pessoais, como o número de telefone, seja realizado com consentimento do titular ou com base em outra hipótese legal prevista. A regra obriga a garantir ao titular os direitos fundamentais de liberdade, intimidade e privacidade, além de assegurar a titularidade dos dados pessoais. O consentimento deve ser fornecido de forma clara e explícita, e o titular tem direito de saber como seus dados são utilizados. Portanto, o envio de mensagens sem consentimento pode ser considerado ilegal, salvo se houver outra base legal justificando o tratamento.', 'chunks': ['4d9abb51', 'a57ec09b'], 'trecho_chave': 'Garantir ao titular os direitos fundamentais de liberdade, intimidade e privacidade. Tratamento de dados pessoais mediante fornecimento de consentimento pelo titular.', 'percentual': ['60', '40']}";"0.75";"0.57";"0.54";"0.63";"1.00";"1.00";"gpt"
"grafo";"O Google pode guardar meu histórico de pesquisas para sempre?";"{'resposta': 'O Google, como controlador, não pode guardar seu histórico de pesquisas para sempre. A LGPD exige que o tratamento de dados pessoais, incluindo armazenamento, tenha duração limitada à finalidade informada. O titular tem direito de saber a duração e solicitar eliminação dos dados. Trecho-chave: ""forma e duração do tratamento"".', 'resposta_completa': 'A Lei Geral de Proteção de Dados (LGPD) determina que o controlador, como o Google, deve informar ao titular a forma e a duração do tratamento dos dados pessoais, incluindo o histórico de pesquisas. O armazenamento permanente não é permitido sem justificativa legal, devendo ser limitado à finalidade informada ao titular. O titular tem direito ao acesso facilitado a essas informações e pode solicitar a eliminação dos dados após o término do tratamento ou quando não forem mais necessários. O Google deve observar princípios como necessidade, finalidade e transparência, além de garantir a possibilidade de exclusão dos dados mediante solicitação do titular. Portanto, o histórico de pesquisas não pode ser armazenado indefinidamente sem base legal e sem respeitar os direitos do titular.', 'chunks': ['ffc54078', '9c7da499'], 'trecho_chave': '""forma e duração do tratamento, observados os segredos comercial e industrial""', 'percentual': ['60', '40']}";"0.83";"0.76";"0.99";"0.66";"1.00";"1.00";"gpt"
"grafo";"Posso ser demitido por postagens no meu perfil pessoal do Instagram fora do horário de trabalho?";"{'resposta': 'Não há regra explícita na LGPD que trate de demissão por postagens em perfil pessoal do Instagram fora do horário de trabalho. A legislação protege direitos fundamentais de liberdade, intimidade e privacidade, conforme o art. 18, mas não regula sanções empregatícias nesse contexto.', 'resposta_completa': 'A Lei Geral de Proteção de Dados (LGPD) assegura ao titular dos dados pessoais direitos fundamentais de liberdade, intimidade e privacidade (art. 18). No entanto, não há previsão específica na LGPD sobre a possibilidade de demissão por postagens realizadas em perfil pessoal do Instagram fora do horário de trabalho. A legislação trata do tratamento de dados pessoais e não regula diretamente questões trabalhistas ou sanções empregatícias decorrentes de condutas em redes sociais fora do ambiente e horário de trabalho. Portanto, eventual demissão por esse motivo dependeria de análise de outros dispositivos legais, como a CLT e princípios constitucionais, não sendo a LGPD o fundamento adequado para tal sanção.', 'chunks': ['4d9abb51', '7b6b9e10'], 'trecho_chave': 'Garantir ao titular os direitos fundamentais de liberdade, intimidade e privacidade.', 'percentual': ['60', '40']}";"0.67";"0.74";"0.54";"0.49";"1.00";"1.00";"gpt"
"grafo";"Uma pessoa pode me fotografar na rua e vender a foto para um banco de imagens?";"{'resposta': 'A comercialização de foto de pessoa identificável captada em espaço público depende do consentimento do titular, pois a imagem é dado pessoal e seu uso comercial exige autorização. O respeito à privacidade e à autodeterminação informativa é garantido pela legislação.', 'resposta_completa': 'A legislação brasileira, especialmente a Lei Geral de Proteção de Dados (LGPD), considera a imagem de pessoa identificável como dado pessoal (art. 5º, I). O tratamento desses dados, incluindo captação e comercialização, exige consentimento do titular, salvo exceções legais. O art. 2º da LGPD reforça o respeito à privacidade, autodeterminação informativa e inviolabilidade da imagem. Assim, fotografar alguém em local público e vender a imagem para banco de imagens, visando ganho financeiro, só é permitido com autorização expressa do titular da imagem. O uso sem consentimento pode gerar responsabilidade civil e administrativa.', 'chunks': ['e9106279', '941201b9'], 'trecho_chave': 'dado pessoal: informação relacionada a pessoa natural identificada ou identificável; ... consentimento: manifestação livre, informada e inequívoca pela qual o titular concorda com tratamento de seus dados pessoais para uma finalidade determinada', 'percentual': ['70', '30']}";"0.83";"0.92";"1.00";"0.75";"1.00";"1.00";"gpt"
"grafo";"O site pode usar cookies para rastrear minha navegação sem me avisar?";"{'resposta': 'O site não pode instalar cookies para rastrear sua navegação sem aviso prévio e consentimento. O titular tem direito ao acesso facilitado às informações sobre o tratamento de seus dados, conforme art. 9º, e deve ser informado de forma clara e ostensiva.', 'resposta_completa': 'A legislação brasileira de proteção de dados exige que o usuário seja informado de maneira clara, adequada e ostensiva sobre o uso de cookies e o tratamento de seus dados pessoais. O art. 9º da LGPD determina que o titular tem direito ao acesso facilitado às informações sobre o tratamento de seus dados, incluindo a finalidade, forma, duração e identificação do controlador. Portanto, o operador do site deve informar previamente sobre a instalação de cookies e obter o consentimento do usuário, especialmente quando se tratar de cookies de rastreamento de navegação. O descumprimento dessas obrigações pode acarretar sanções e obriga o controlador a reparar eventuais danos.', 'chunks': ['ffc54078', 'f9e4ad69'], 'trecho_chave': 'O titular tem direito ao acesso facilitado às informações sobre o tratamento de seus dados, que deverão ser disponibilizadas de forma clara, adequada e ostensiva'}";"0.85";"0.80";"0.54";"0.67";"1.00";"1.00";"gpt"
"grafo";"Posso pedir para o Google remover resultados de pesquisa com meu nome?";"{'resposta': 'O titular dos dados pode solicitar ao Google a remoção de resultados de pesquisa que contenham seus dados pessoais, visando proteger sua privacidade e exercer direito previsto em lei. O direito à eliminação está fundamentado na obrigação de exclusão definitiva de dados pessoais ao término da relação, a pedido do titular, conforme previsto na legislação.', 'resposta_completa': 'A legislação brasileira assegura ao titular dos dados pessoais o direito de solicitar a exclusão de informações que estejam sendo tratadas de forma inadequada ou que não tenham mais finalidade legítima. Assim, ao identificar resultados de pesquisa no Google que exponham seus dados pessoais, o titular pode requerer a remoção desses resultados, utilizando o formulário específico disponibilizado pela plataforma. Essa solicitação normalmente não gera custos ao titular e está amparada pelo direito à privacidade, liberdade e proteção de dados pessoais, conforme previsto na Lei Geral de Proteção de Dados (LGPD). O Google, como controlador, deve analisar o pedido e, se cabível, proceder à exclusão dos dados, exceto nas hipóteses legais de conservação obrigatória.', 'chunks': ['f1ac48cc', '4d9abb51'], 'trecho_chave': 'Obrigação de exclusão definitiva de dados pessoais ao término da relação, a pedido do titular'}";"0.69";"0.73";"0.56";"0.64";"1.00";"1.00";"gpt"
"grafo";"Uma escola pode criar grupo de WhatsApp com fotos e dados dos alunos sem pedir autorização dos pais?";"{'resposta': 'A escola, como controladora dos dados, só pode criar grupo de WhatsApp com fotos e dados dos alunos mediante consentimento livre, informado e inequívoco dos pais, conforme a definição de consentimento e tratamento de dados pessoais prevista na LGPD. Trecho-chave: ""consentimento: manifestação livre, informada e inequívoca pela qual o titular concorda com tratamento de seus dados pessoais para uma finalidade determinada"".', 'resposta_completa': 'A criação de grupo de WhatsApp pela escola, envolvendo o compartilhamento de fotos e dados pessoais dos alunos, exige consentimento explícito dos pais ou responsáveis legais, pois tais informações são consideradas dados pessoais pela LGPD. O tratamento desses dados, incluindo coleta, transmissão e compartilhamento em ambiente digital, só pode ocorrer mediante manifestação livre, informada e inequívoca dos titulares ou seus representantes legais. O artigo 5º da LGPD define consentimento como requisito essencial para o tratamento de dados pessoais, especialmente quando envolve menores de idade. O descumprimento pode acarretar sanções administrativas à escola, conforme previsto na legislação.', 'chunks': ['e9106279'], 'trecho_chave': 'consentimento: manifestação livre, informada e inequívoca pela qual o titular concorda com tratamento de seus dados pessoais para uma finalidade determinada', 'percentual': ['100']}";"0.82";"0.94";"0.54";"0.67";"1.00";"1.00";"gpt"
