"type";"question";"complexity";"saf";"nli";"sim";"response_llm";"model"
"grafo";"A academia pode exigir atestado médico e guardar cópia no meu cadastro?";"0.87";"0.66";"0.55";"0.46";"{'resposta': 'A exigência de atestado médico e seu armazenamento pela academia do condomínio envolve tratamento de dado pessoal sensível, permitido apenas com consentimento específico do titular para finalidade clara, conforme art. 11 da LGPD. O condomínio deve garantir segurança e transparência no uso e guarda desses dados.', 'resposta_completa': 'A exigência de atestado médico para uso da academia do condomínio e o armazenamento desse documento no cadastro do titular configuram tratamento de dados pessoais sensíveis, pois envolvem informações sobre saúde. Segundo o art. 11 da LGPD, esse tratamento só pode ocorrer mediante consentimento específico e destacado do titular para finalidades determinadas, ou em hipóteses excepcionais, como proteção da vida ou tutela da saúde, desde que realizado por profissionais da área da saúde ou entidades sanitárias. O condomínio, ao solicitar e armazenar o atestado, deve informar claramente a finalidade, garantir a segurança dos dados e limitar o acesso apenas ao necessário, conforme os princípios da necessidade, finalidade e segurança previstos na LGPD. O titular tem direito de acesso, correção e eliminação desses dados, e o condomínio deve adotar medidas técnicas e administrativas para proteger as informações contra acessos não autorizados.', 'chunks': ['b47f4387', 'e9106279'], 'trecho_chave': 'Art. 11 O tratamento de dados pessoais sensíveis somente poderá ocorrer nas seguintes hipóteses: I - quando o titular ou seu responsável legal consentir, de forma específica e destacada, para finalidades específicas;', 'percentual': ['80', '20']}";"maritaca"
"grafo";"Minha empresa pode exigir teste de HIV como condição para a contratação?";"0.90";"0.93";"0.54";"0.70";"{'resposta': 'A exigência de teste de HIV para contratação pode configurar discriminação e violar princípios da LGPD, como necessidade, finalidade e não discriminação. O tratamento de dados sensíveis só é permitido em hipóteses específicas, não abrangendo seleção de funcionários.', 'resposta_completa': ""A solicitação de teste de HIV como condição para contratação de funcionários envolve o tratamento de dado pessoal sensível, conforme a LGPD. O art. 6º da LGPD determina que o tratamento de dados deve observar princípios como necessidade, finalidade e, principalmente, não discriminação: 'impossibilidade de realização do tratamento para fins discriminatórios ilícitos ou abusivos'. O tratamento de dados sensíveis só é permitido em hipóteses específicas, como cumprimento de obrigação legal, tutela da saúde ou consentimento específico, o que não se aplica ao processo seletivo comum. Portanto, exigir teste de HIV para admissão pode ser considerado ilegal e discriminatório, violando direitos fundamentais do candidato."", 'chunks': ['9c7da499', 'b47f4387'], 'trecho_chave': 'IX - não discriminação: impossibilidade de realização do tratamento para fins discriminatórios ilícitos ou abusivos'}";"maritaca"
"grafo";"O hospital pode recusar atendimento de emergência se eu não fornecer meu CPF?";"0.91";"0.88";"0.06";"0.64";"{'resposta': 'Hospitais não podem recusar atendimento de emergência por falta de CPF, pois a proteção da vida e da incolumidade física do titular prevalece. O tratamento de dados pessoais é permitido para tutela da saúde, mesmo sem consentimento, conforme art. 11, II, e, f da LGPD.', 'resposta_completa': 'A recusa de atendimento de emergência hospitalar devido à não apresentação do CPF não encontra respaldo legal, pois a Lei Geral de Proteção de Dados (LGPD) prevê, em seu art. 11, II, e e f, que o tratamento de dados pessoais sensíveis pode ocorrer sem consentimento do titular quando necessário para proteção da vida ou da incolumidade física do titular ou de terceiro, bem como para tutela da saúde em procedimento realizado por profissionais da área da saúde ou entidades sanitárias. Assim, a exigência do CPF não pode ser obstáculo ao atendimento emergencial, pois o direito à vida e à saúde se sobrepõe à formalidade cadastral. O hospital pode solicitar dados para identificação, mas não pode condicionar o atendimento de emergência à apresentação do CPF.', 'chunks': ['b47f4387'], 'trecho_chave': 'tratamento de dados pessoais sensíveis [...] nas hipóteses em que for indispensável para: [...] e) proteção da vida ou da incolumidade física do titular ou de terceiro; f) tutela da saúde, em procedimento realizado por profissionais da área da saúde ou por entidades sanitárias', 'percentual': ['100']}";"maritaca"
"grafo";"A empresa de telefonia pode vender a minha foto de cadastro?";"0.81";"0.96";"0.54";"0.59";"{'resposta': 'A empresa de telefonia não pode vender ou compartilhar sua foto de cadastro para obter lucro ou repassar a terceiros sem seu consentimento específico. O tratamento de dados pessoais, como fotos, exige consentimento do titular para finalidades específicas, conforme a legislação.', 'resposta_completa': 'A comercialização ou compartilhamento da foto de cadastro por empresa de telefonia depende de consentimento específico e destacado do titular, conforme previsto na legislação de proteção de dados pessoais. O art. 11 da Lei Geral de Proteção de Dados (LGPD) determina que o tratamento de dados pessoais sensíveis, como imagens, só pode ocorrer mediante consentimento do titular para finalidades específicas, salvo exceções legais. Além disso, o art. 16 da LGPD prevê que a transferência a terceiros só é permitida se respeitados os requisitos legais. Portanto, a venda ou repasse da foto de cadastro sem consentimento viola a legislação e pode gerar responsabilização da empresa.', 'chunks': ['b47f4387', '5cf8dbf1'], 'trecho_chave': 'Art. 11 O tratamento de dados pessoais sensíveis somente poderá ocorrer nas seguintes hipóteses: I - quando o titular ou seu responsável legal consentir, de forma específica e destacada, para finalidades específicas;'}";"maritaca"
"grafo";"O banco pode compartilhar meu score de crédito com outros bancos sem minha autorização?";"0.91";"0.78";"0.65";"0.64";"{'resposta': ""O compartilhamento do score de crédito entre bancos sem autorização do titular depende de hipóteses legais. Segundo a LGPD, o tratamento de dados pessoais, incluindo comunicação ou transferência, exige consentimento, salvo exceções como proteção do crédito. Trecho-chave: 'Art. 7º O tratamento de dados pessoais somente poderá ser realizado nas seguintes hipóteses: I - mediante o fornecimento de consentimento pelo titular... X - para a proteção do crédito, inclusive quanto ao disposto na legislação pertinente.'"", 'resposta_completa': 'O banco, como agente de tratamento, só pode compartilhar o score de crédito do titular com outros bancos ou instituições financeiras mediante consentimento do titular, salvo exceções previstas em lei. A Lei Geral de Proteção de Dados (LGPD) estabelece que o tratamento de dados pessoais, incluindo comunicação, transferência ou uso compartilhado, exige consentimento do titular, exceto em hipóteses específicas, como para a proteção do crédito (art. 7º, X). Portanto, o compartilhamento sem autorização só é permitido se estiver enquadrado na finalidade de proteção do crédito, conforme legislação pertinente. Fora dessas hipóteses, o consentimento é obrigatório, e o descumprimento pode gerar sanções.', 'chunks': ['a57ec09b', 'e9106279'], 'trecho_chave': 'Art. 7º O tratamento de dados pessoais somente poderá ser realizado nas seguintes hipóteses: I - mediante o fornecimento de consentimento pelo titular... X - para a proteção do crédito, inclusive quanto ao disposto na legislação pertinente.', 'percentual': ['80', '20']}";"maritaca"
"grafo";"Posso exigir que o e-commerce apague todos os meus dados depois de uma compra?";"0.63";"0.81";"0.54";"0.63";"{'resposta': 'O titular pode solicitar ao e-commerce a eliminação de seus dados pessoais após a compra, conforme art. 18 da LGPD. Contudo, a exclusão pode ser negada se houver obrigação legal de retenção. Trecho-chave: ""eliminação dos dados pessoais tratados com o consentimento do titular, exceto nas hipóteses previstas no art. 16"".', 'resposta_completa': 'A Lei Geral de Proteção de Dados (LGPD) assegura ao titular o direito de solicitar ao controlador, como o e-commerce, a eliminação de seus dados pessoais após o término da finalidade contratual, ou seja, após a compra. O art. 18 da LGPD prevê expressamente esse direito, mas ressalva que a exclusão pode não ser possível caso haja obrigação legal ou regulatória de retenção dos dados, como obrigações fiscais ou de defesa em processos judiciais. Portanto, o consumidor pode exercer esse direito por meio de solicitação formal, mas o e-commerce pode manter os dados se houver justificativa legal para tanto.', 'chunks': ['f9e4ad69'], 'trecho_chave': 'eliminação dos dados pessoais tratados com o consentimento do titular, exceto nas hipóteses previstas no art. 16', 'percentual': ['100']}";"maritaca"
"grafo";"A loja pode me pedir CPF como condição para fazer uma compra em dinheiro?";"0.65";"0.89";"0.54";"0.66";"{'resposta': 'Não há base legal que obrigue a loja a exigir CPF para compras em dinheiro, salvo se houver necessidade para cumprimento de obrigação legal, regulatória ou proteção do crédito. O tratamento de dados pessoais deve respeitar direitos fundamentais do titular, conforme a LGPD.', 'resposta_completa': 'A solicitação do CPF em compras realizadas em dinheiro não encontra respaldo obrigatório na legislação, exceto se a loja demonstrar necessidade para cumprimento de obrigação legal, regulatória ou proteção do crédito, conforme previsto na Lei Geral de Proteção de Dados (LGPD). O tratamento de dados pessoais, como o CPF, deve ser justificado por uma das hipóteses legais, como consentimento do titular, obrigação legal ou legítimo interesse do controlador, sempre respeitando os direitos fundamentais de liberdade, intimidade e privacidade do consumidor. O trecho-chave da LGPD destaca que o tratamento de dados pessoais deve proteger direitos fundamentais e que o consentimento é necessário quando não houver outra base legal. Portanto, a exigência do CPF para compras em dinheiro, sem justificativa legal, pode ser considerada excessiva e não obrigatória.', 'chunks': ['a57ec09b', '820509db'], 'trecho_chave': 'Tratamento de dados pessoais mediante fornecimento de consentimento pelo titular; Tratamento de dados pessoais deve proteger direitos fundamentais de liberdade, privacidade e livre desenvolvimento da personalidade', 'percentual': ['60', '40']}";"maritaca"
"grafo";"Posso ser incluído em lista negra de inadimplentes sem ser notificado?";"0.78";"0.81";"0.57";"0.66";"{'resposta': 'A inclusão do titular em lista de inadimplentes exige respeito aos princípios da transparência e informação clara ao titular. O tratamento de dados deve ser informado, garantindo consulta facilitada e gratuita sobre a forma e duração do tratamento, conforme a LGPD.', 'resposta_completa': 'A Lei Geral de Proteção de Dados (LGPD) determina que o tratamento de dados pessoais, como a inclusão em lista de inadimplentes, deve observar princípios como transparência, finalidade e livre acesso. O titular tem direito a informações claras, precisas e facilmente acessíveis sobre o tratamento de seus dados, incluindo a inclusão em bancos de dados de inadimplentes. O artigo 6º da LGPD destaca a necessidade de informar o titular sobre o tratamento, sendo vedada a inclusão sem notificação adequada. Assim, o responsável pelo banco de dados deve garantir que o titular seja comunicado sobre a inclusão, permitindo-lhe exercer seus direitos, como contestar ou corrigir informações.', 'chunks': ['9c7da499', 'e9106279'], 'trecho_chave': 'garantia, aos titulares, de informações claras, precisas e facilmente acessíveis sobre a realização do tratamento e os respectivos agentes de tratamento'}";"maritaca"
"grafo";"O aplicativo de delivery pode vender meu endereço residencial para anunciantes?";"0.78";"0.94";"0.54";"0.54";"{'resposta': 'A venda ou compartilhamento do endereço residencial por aplicativo de delivery para anunciantes ou terceiros depende do consentimento do titular e deve respeitar a Lei Geral de Proteção de Dados. O titular tem direito à informação e pode exigir eliminação dos dados. Trecho-chave: ""VII - informação das entidades públicas e privadas com as quais o controlador realizou uso compartilhado de dados"".', 'resposta_completa': 'O aplicativo de delivery, enquanto controlador de dados pessoais, não pode vender ou compartilhar o endereço residencial do usuário para anunciantes ou terceiros sem o consentimento do titular, conforme determina a Lei Geral de Proteção de Dados (LGPD). O titular dos dados tem direito de ser informado sobre o uso compartilhado de seus dados, podendo solicitar a eliminação, anonimização ou bloqueio de dados tratados em desconformidade. O artigo 18 da LGPD garante ao titular o direito de obter informações sobre entidades públicas e privadas com as quais houve compartilhamento de dados. Além disso, o artigo 16 prevê que, após o término do tratamento, os dados devem ser eliminados, salvo exceções legais. Portanto, a venda do endereço residencial para fins de publicidade direcionada sem consentimento viola a legislação vigente.', 'chunks': ['f9e4ad69', '5cf8dbf1'], 'trecho_chave': 'VII - informação das entidades públicas e privadas com as quais o controlador realizou uso compartilhado de dados'}";"maritaca"
"grafo";"Posso pedir para um site apagar meu cadastro e ele se recusar alegando ""interesse legítimo""?";"0.79";"0.85";"0.39";"0.68";"{'resposta': 'O titular pode solicitar a eliminação de seus dados pessoais a qualquer momento, conforme art. 18 da LGPD. O controlador só pode recusar se houver fundamento legal, como obrigação regulatória ou necessidade para defesa em processos, devendo justificar a recusa.', 'resposta_completa': 'A Lei Geral de Proteção de Dados (LGPD) assegura ao titular o direito de solicitar a eliminação de seus dados pessoais tratados com consentimento, conforme art. 18, VI. O controlador pode recusar a eliminação apenas nas hipóteses previstas no art. 16 da LGPD, como cumprimento de obrigação legal ou regulatória, estudo por órgão de pesquisa, transferência a terceiro (desde que respeitados os requisitos legais) ou uso exclusivo do controlador, vedado seu acesso por terceiro, e desde que anonimizados. O legítimo interesse não é, por si só, justificativa suficiente para negar a eliminação, devendo o controlador demonstrar a necessidade e a prevalência desse interesse sobre os direitos do titular. A recusa deve ser fundamentada e comunicada ao titular.', 'chunks': ['f9e4ad69'], 'trecho_chave': 'VI - eliminação dos dados pessoais tratados com o consentimento do titular, exceto nas hipóteses previstas no art. 16 desta Lei'}";"maritaca"
"grafo";"A empresa pode continuar me mandando e-mail de marketing após eu pedir para sair da lista?";"0.77";"0.96";"1.00";"0.66";"{'resposta': 'Após o titular solicitar a exclusão da lista de e-mails de marketing, a empresa deve cessar o envio, pois a LGPD obriga o término do tratamento mediante comunicação do titular, conforme art. 15, III. O envio após o pedido viola o direito de revogação do consentimento.', 'resposta_completa': ""A legislação de proteção de dados pessoais (LGPD) determina que o tratamento de dados pessoais deve ser encerrado quando o titular comunica sua vontade, inclusive exercendo o direito de revogação do consentimento. O art. 15, III, da LGPD, estabelece que o término do tratamento ocorre mediante comunicação do titular, resguardado o interesse público. Portanto, se o titular dos dados solicita a exclusão da lista de e-mails de marketing, a empresa é obrigada a cessar o envio dessas comunicações. O envio contínuo após o pedido caracteriza tratamento em desconformidade com a lei, podendo gerar sanções administrativas e obrigação de reparação de danos. O trecho-chave que fundamenta essa resposta é: 'comunicação do titular, inclusive no exercício de seu direito de revogação do consentimento conforme disposto no § 5º do art. 8º desta Lei, resguardado o interesse público'."", 'chunks': ['2c784e52'], 'trecho_chave': 'comunicação do titular, inclusive no exercício de seu direito de revogação do consentimento conforme disposto no § 5º do art. 8º desta Lei, resguardado o interesse público', 'percentual': ['100']}";"maritaca"
"grafo";"O cartão de fidelidade de supermercado pode mapear todos os meus hábitos de consumo?";"0.90";"0.87";"0.54";"0.46";"{'resposta': 'O uso do cartão de fidelidade em supermercados permite o mapeamento de hábitos de consumo, pois envolve coleta, classificação e armazenamento de dados pessoais vinculados às compras. O titular tem direito ao acesso facilitado sobre o tratamento desses dados, conforme a LGPD.', 'resposta_completa': 'O cartão de fidelidade de supermercado pode, sim, mapear todos os seus hábitos de consumo, pois cada transação realizada com o cartão gera dados pessoais que são coletados, classificados e armazenados pelo supermercado, que atua como agente de tratamento. Segundo a LGPD, tais dados são considerados pessoais e seu tratamento deve ser transparente, com o titular tendo direito ao acesso facilitado às informações sobre a finalidade, forma e duração do tratamento, bem como sobre o uso compartilhado dos dados. O trecho-chave da legislação destaca que o titular deve ser informado de maneira clara e adequada sobre o tratamento de seus dados, incluindo a finalidade específica e os responsáveis pelo tratamento. Assim, o monitoramento e análise de preferências e padrões de compra são possíveis, mas devem respeitar os direitos do titular previstos na LGPD.', 'chunks': ['ffc54078', 'e9106279'], 'trecho_chave': 'Art. 9º O titular tem direito ao acesso facilitado às informações sobre o tratamento de seus dados, que deverão ser disponibilizadas de forma clara, adequada e ostensiva acerca de, entre outras características [...] finalidade específica do tratamento [...]', 'percentual': ['60', '40']}";"maritaca"
"grafo";"Posso ser cobrado por serviços a mais se não aceitar o compartilhamento dos meus dados?";"0.86";"0.93";"0.67";"0.56";"{'resposta': 'A legislação exige que o controlador informe ao titular sobre a possibilidade de não fornecer consentimento e as consequências da negativa, mas não autoriza cobrança adicional ou discriminação por recusa ao compartilhamento de dados pessoais. Trecho-chave: ""informação sobre a possibilidade de não fornecer consentimento e sobre as consequências da negativa"".', 'resposta_completa': 'No contexto condominial, a Lei Geral de Proteção de Dados (LGPD) determina que o titular dos dados pessoais deve ser informado sobre a possibilidade de não fornecer consentimento para o compartilhamento de seus dados e sobre as consequências dessa negativa. Contudo, a legislação não prevê a possibilidade de cobrança adicional ou discriminação caso o titular opte por não consentir com o compartilhamento de seus dados pessoais. O controlador deve garantir os direitos fundamentais do titular, como liberdade, intimidade e privacidade, e não pode impor sanções ou tarifas diferenciadas em razão da recusa ao consentimento. Portanto, não há respaldo legal para cobrança extra por serviços condominiais em razão da negativa ao compartilhamento de dados pessoais.', 'chunks': ['f9e4ad69'], 'trecho_chave': 'informação sobre a possibilidade de não fornecer consentimento e sobre as consequências da negativa', 'percentual': ['100']}";"maritaca"
"grafo";"Posso usar a foto de perfil do Facebook de alguém para criar um meme?";"0.90";"0.78";"0.54";"0.71";"{'resposta': 'A utilização da foto de perfil do Facebook de terceiros para criar memes configura tratamento de dado pessoal, exigindo consentimento do titular, conforme o conceito de dado pessoal e consentimento previsto na LGPD. O respeito à privacidade e à imagem é fundamento legal.', 'resposta_completa': 'A foto de perfil do Facebook é considerada dado pessoal, pois permite identificar a pessoa natural (art. 5º, I, LGPD). O tratamento desse dado, como a criação e divulgação de memes, só pode ocorrer mediante consentimento livre, informado e inequívoco do titular (art. 5º, XII, LGPD). O uso sem autorização pode violar direitos fundamentais de privacidade, intimidade e imagem, protegidos pela legislação (art. 2º, IV, LGPD). Exceções à necessidade de consentimento existem apenas para fins jornalísticos, artísticos ou acadêmicos, o que não se aplica genericamente à criação de memes. Portanto, a reutilização da imagem sem consentimento pode gerar responsabilidade civil e administrativa.', 'chunks': ['e9106279', '941201b9'], 'trecho_chave': 'I - dado pessoal: informação relacionada a pessoa natural identificada ou identificável; ... XII - consentimento: manifestação livre, informada e inequívoca pela qual o titular concorda com - tratamento de seus dados pessoais para uma finalidade determinada;', 'percentual': ['60', '40']}";"maritaca"
"grafo";"Uma empresa pode me mandar mensagem no WhatsApp sem eu ter dado meu número a ela?";"0.75";"0.97";"0.54";"0.63";"{'resposta': 'O envio de mensagem por empresa via WhatsApp sem consentimento do titular pode configurar tratamento de dado pessoal em desconformidade com a LGPD. O titular tem direito à confirmação da existência de tratamento e à eliminação dos dados, conforme art. 18 da Lei.', 'resposta_completa': 'O envio de mensagens por empresa no WhatsApp, utilizando número de telefone sem consentimento do titular, caracteriza tratamento de dado pessoal. Segundo o art. 18 da LGPD, o titular pode exigir confirmação da existência de tratamento, acesso, correção, anonimização, bloqueio ou eliminação dos dados tratados em desconformidade. O tratamento de dados pessoais por empresas exige base legal, sendo o consentimento uma das principais hipóteses. Caso não haja consentimento ou outra base legal legítima, o envio de mensagens pode ser considerado irregular, sujeitando a empresa a sanções e obrigações de reparação. O titular pode ainda solicitar informações sobre o compartilhamento dos dados e revogar eventual consentimento concedido.', 'chunks': ['f9e4ad69'], 'trecho_chave': 'Art. 18 O titular dos dados pessoais tem direito a obter do controlador, em relação aos dados do titular por ele tratados, a qualquer momento e mediante requisição: I - confirmação da existência de tratamento; [...] IV - anonimização, bloqueio ou eliminação de dados desnecessários, excessivos ou tratados em desconformidade com o disposto nesta Lei;'}";"maritaca"
"grafo";"O Google pode guardar meu histórico de pesquisas para sempre?";"0.82";"0.67";"0.80";"0.68";"{'resposta': 'O Google, como controlador, pode armazenar o histórico de pesquisas do usuário por tempo indefinido, mas a LGPD garante ao titular o direito de solicitar a eliminação desses dados. O trecho-chave: ""eliminação dos dados pessoais tratados com o consentimento do titular"" fundamenta esse direito.', 'resposta_completa': 'O Google, na qualidade de controlador de dados, pode armazenar o histórico de pesquisas do usuário em seus servidores para fins de personalização, publicidade e melhoria dos serviços. Contudo, conforme a Lei Geral de Proteção de Dados (LGPD), o titular tem o direito de solicitar a eliminação dos dados pessoais tratados com seu consentimento, salvo exceções legais. O artigo 18 da LGPD prevê expressamente que o titular pode, a qualquer momento, requerer a eliminação dos dados pessoais, o que impede o armazenamento permanente caso haja solicitação. Portanto, a permanência dos dados não é absoluta, pois depende da vontade do titular, que pode exercer seus direitos previstos na legislação.', 'chunks': ['f9e4ad69', 'e9106279'], 'trecho_chave': 'eliminação dos dados pessoais tratados com o consentimento do titular, exceto nas hipóteses previstas no art. 16 desta Lei', 'percentual': ['80', '20']}";"maritaca"
"grafo";"Posso ser demitido por postagens no meu perfil pessoal do Instagram fora do horário de trabalho?";"0.72";"0.96";"0.51";"0.51";"{'resposta': 'Não há regra explícita nos chunks apresentados que trate da possibilidade de demissão por postagens em perfil pessoal do Instagram fora do horário de trabalho. Os trechos disponíveis abordam tratamento de dados pessoais, direitos do titular e princípios da LGPD, sem tratar de vínculo empregatício ou conduta em redes sociais.', 'resposta_completa': 'A análise dos chunks fornecidos revela que não há base normativa específica sobre a possibilidade de demissão por postagens em perfil pessoal do Instagram fora do horário de trabalho. Os textos apresentados concentram-se em princípios da Lei Geral de Proteção de Dados (LGPD), como finalidade, necessidade, transparência e não discriminação, além de direitos do titular sobre seus dados pessoais. Não há menção a regras trabalhistas, conduta do empregado fora do expediente ou consequências disciplinares relacionadas a postagens em redes sociais. Portanto, com base apenas nos chunks apresentados, não é possível afirmar que existe respaldo legal para demissão nessas circunstâncias, sendo necessário consultar legislação trabalhista específica ou normas internas da empresa para uma resposta conclusiva.', 'chunks': ['9c7da499', 'e9106279'], 'trecho_chave': 'As atividades de tratamento de dados pessoais deverão observar a boa-fé e os seguintes princípios: I - finalidade: realização do tratamento para propósitos legítimos, específicos, explícitos e informados ao titular [...] IX - não discriminação: impossibilidade de realização do tratamento para fins discriminatórios ilícitos ou abusivos;', 'percentual': ['60', '40']}";"maritaca"
"grafo";"Uma pessoa pode me fotografar na rua e vender a foto para um banco de imagens?";"0.83";"0.83";"1.00";"0.89";"{'resposta': 'A captação e comercialização de imagem pessoal, mesmo em via pública, depende de consentimento do titular, pois a imagem é dado pessoal protegido pela LGPD. O tratamento sem consentimento viola o direito à privacidade e à autodeterminação informativa. Trecho-chave: ""manifestação livre, informada e inequívoca pela qual o titular concorda com tratamento de seus dados pessoais para uma finalidade determinada"".', 'resposta_completa': 'A fotografia de uma pessoa em via pública e a posterior venda dessa imagem para um banco de imagens caracteriza tratamento de dado pessoal, conforme o art. 5º da LGPD, pois envolve coleta e comercialização de informação relacionada a pessoa identificável. O uso comercial da imagem exige consentimento do titular, conforme o conceito de consentimento previsto na LGPD. O direito à privacidade, à autodeterminação informativa e à inviolabilidade da imagem são fundamentos expressos da proteção de dados pessoais (art. 2º). Assim, a exploração comercial da imagem sem consentimento viola esses direitos, mesmo que a foto tenha sido tirada em local público. O titular pode exigir a eliminação dos dados e buscar reparação por danos. Exceções legais, como fins jornalísticos ou artísticos, não se aplicam ao caso de venda comercial para banco de imagens.', 'chunks': ['e9106279', '941201b9'], 'trecho_chave': 'manifestação livre, informada e inequívoca pela qual o titular concorda com tratamento de seus dados pessoais para uma finalidade determinada', 'percentual': ['70', '30']}";"maritaca"
"grafo";"O site pode usar cookies para rastrear minha navegação sem me avisar?";"0.78";"0.48";"0.99";"0.73";"{'resposta': 'O site não pode usar cookies para rastrear sua navegação sem aviso. O tratamento de dados exige transparência e consentimento do titular, conforme art. 6º e art. 18 da LGPD. O controlador deve informar claramente sobre o uso de cookies e obter consentimento prévio.', 'resposta_completa': 'A utilização de cookies para rastreamento durante a navegação configura tratamento de dados pessoais. Segundo o art. 6º da LGPD, o tratamento deve observar os princípios da finalidade, necessidade e, principalmente, transparência, garantindo informações claras e acessíveis ao titular. O art. 18 reforça que o titular tem direito à confirmação da existência de tratamento, acesso aos dados e informação sobre a possibilidade de não fornecer consentimento. Portanto, o controlador do site deve informar de forma clara sobre o uso de cookies e obter consentimento do usuário antes de iniciar o rastreamento, não sendo permitido fazê-lo sem aviso.', 'chunks': ['9c7da499', 'f9e4ad69'], 'trecho_chave': 'garantia, aos titulares, de informações claras, precisas e facilmente acessíveis sobre a realização do tratamento e os respectivos agentes de tratamento', 'percentual': ['60', '40']}";"maritaca"
"grafo";"Posso pedir para o Google remover resultados de pesquisa com meu nome?";"0.88";"0.78";"0.56";"0.84";"{'resposta': 'O titular dos dados pessoais pode solicitar ao Google a remoção de resultados de pesquisa que contenham seus dados pessoais, fundamentando-se no direito de eliminação previsto na LGPD. O artigo 18 garante ao titular o direito de requerer a eliminação de dados tratados em desconformidade.', 'resposta_completa': 'A Lei Geral de Proteção de Dados (LGPD) assegura ao titular dos dados pessoais o direito de solicitar a eliminação de informações pessoais tratadas de forma inadequada ou em desconformidade com a legislação. O artigo 18 da LGPD prevê expressamente que o titular pode requerer ao controlador, neste caso o Google, a eliminação de dados pessoais, especialmente quando o tratamento for considerado desnecessário, excessivo ou em desacordo com a lei. Para exercer esse direito, é necessário realizar uma solicitação formal ao Google, indicando os resultados de pesquisa que contenham seus dados pessoais e fundamentando o pedido no direito de eliminação. O Google disponibiliza um canal específico para esse tipo de solicitação, sem custo ao titular. A análise do pedido será feita conforme os critérios legais e a política da plataforma.', 'chunks': ['f9e4ad69', 'e9106279'], 'trecho_chave': 'Art. 18 O titular dos dados pessoais tem direito a obter do controlador... IV - anonimização, bloqueio ou eliminação de dados desnecessários, excessivos ou tratados em desconformidade com o disposto nesta Lei;', 'percentual': ['80', '20']}";"maritaca"
"grafo";"Uma escola pode criar grupo de WhatsApp com fotos e dados dos alunos sem pedir autorização dos pais?";"0.85";"0.76";"0.54";"0.63";"{'resposta': 'A escola, como agente de tratamento, não pode criar grupo de WhatsApp com fotos e dados dos alunos sem o consentimento dos pais ou responsáveis, pois o compartilhamento de dados pessoais exige manifestação livre, informada e inequívoca do titular. O consentimento é obrigatório.', 'resposta_completa': 'A criação de grupo de WhatsApp por escola, contendo fotos e dados dos alunos, caracteriza tratamento de dados pessoais, conforme art. 5º da LGPD. O compartilhamento desses dados exige consentimento dos pais ou responsáveis, pois alunos são titulares e a escola é agente de tratamento. O consentimento deve ser livre, informado e inequívoco, conforme definição legal. O descumprimento pode acarretar sanções administrativas, como advertência, multa e bloqueio dos dados, conforme art. 52 da LGPD. Portanto, a escola deve obter autorização expressa dos pais antes de compartilhar fotos e dados dos alunos em grupos de WhatsApp.', 'chunks': ['e9106279', '28e2924f'], 'trecho_chave': 'consentimento: manifestação livre, informada e inequívoca pela qual o titular concorda com - tratamento de seus dados pessoais para uma finalidade determinada'}";"maritaca"
"grafo";"O governo pode cruzar meus dados do IR com dados do INSS sem minha autorização?";"0.70";"0.64";"0.55";"0.82";"{'resposta': 'O governo federal, por meio da Receita Federal e INSS, pode cruzar dados do Imposto de Renda e INSS sem autorização do titular, desde que para cumprimento de obrigação legal ou execução de políticas públicas, conforme art. 7º, II e III da LGPD. O tratamento deve ser informado e justificado.', 'resposta_completa': 'A Lei Geral de Proteção de Dados (LGPD) permite que órgãos públicos, como Receita Federal e INSS, realizem o cruzamento de dados pessoais, inclusive do Imposto de Renda e INSS, sem necessidade de autorização do titular, desde que haja fundamento legal. O art. 7º, II e III, da LGPD, autoriza o tratamento de dados pessoais para cumprimento de obrigação legal ou regulatória pelo controlador e para execução de políticas públicas previstas em leis e regulamentos. O art. 23 reforça que o tratamento deve atender à finalidade pública, interesse público e execução de competências legais, devendo ser informadas as hipóteses, finalidades e procedimentos em veículos de fácil acesso. Assim, o cruzamento de dados para fins de fiscalização, verificação ou cumprimento de obrigações legais é permitido, desde que respeitados os princípios da transparência e finalidade.', 'chunks': ['a57ec09b', 'a625792a'], 'trecho_chave': 'Art. 7º O tratamento de dados pessoais somente poderá ser realizado nas seguintes hipóteses: II - para o cumprimento de obrigação legal ou regulatória pelo controlador; III - pela administração pública, para o tratamento e uso compartilhado de dados necessários à execução de políticas públicas previstas em leis e regulamentos', 'percentual': ['70', '30']}";"maritaca"
