"type";"question";"gold_answer";"llm_response";"complexity";"saf";"nli";"sim";"relevancy";"faithfulness";"model"
"grafo";"O app de transporte pode compartilhar meu histórico de rotas com parceiros comerciais?";"O Art. 7º, § 4º exige consentimento para compartilhamento. Mas se for ""analisado por IA"" e transformado em ""perfil de consumo genérico"" sem identificação direta? A linha é tênue.";"{'resposta': 'O compartilhamento do histórico de rotas de usuários de aplicativos de transporte com parceiros comerciais só é permitido se houver consentimento específico e informado do titular, conforme a LGPD. O tratamento deve respeitar os princípios de finalidade, necessidade e transparência, e o titular deve ser informado sobre a natureza da operação e seus riscos. Sem consentimento, o compartilhamento é vedado, salvo hipóteses legais específicas, como obrigação regulatória ou anonimização dos dados. O controlador deve garantir que terceiros também cumpram as obrigações legais de proteção de dados.', 'chunks': ['e9106279', '9c7da499'], 'trecho_chave': 'consentimento: manifestação livre, informada e inequívoca pela qual o titular concorda com o tratamento de seus dados pessoais para uma finalidade determinada', 'percentual': ['60', '40']}";"0.82";"0.81";"0.54";"0.56";"1.00";"0.75";"maritaca"
"grafo";"Meu ex-empregador pode me processar se eu solicitar todos os meus dados guardados?";"Não, o Art. 18 é direito do titular. Mas se nas correspondências internas houver ""opiniões"" sobre meu desempenho? Outros funcionários também têm direito à privacidade.";"{'resposta': 'Não. O ex-empregado tem direito legal de solicitar acesso aos seus dados pessoais armazenados pelo ex-empregador, conforme art. 18 da LGPD, que assegura ao titular confirmação da existência de tratamento e acesso aos dados mediante requisição. O exercício desse direito não configura ato ilícito passível de processo, pois é garantido por lei. O controlador deve fornecer as informações em até 15 dias, sem prejuízo ao titular, conforme obrigações de transparência e livre acesso previstas na legislação de proteção de dados.', 'chunks': ['f9e4ad69', '9c7da499'], 'trecho_chave': 'Art. 18 O titular dos dados pessoais tem direito a obter do controlador, em relação aos dados do titular por ele tratados, a qualquer momento e mediante requisição: I - confirmação da existência de tratamento; II - acesso aos dados', 'percentual': ['70', '30']}";"0.89";"0.85";"0.54";"0.73";"1.00";"1.00";"maritaca"
"grafo";"A empresa pode usar meu e-mail pessoal cadastrado para enviar marketing?";"Não, sem consentimento específico (Art. 7º, § 4º). Mas se foi ""coletado no contexto de relação contratual""? Isso configura ""legítimo interesse""?";"{'resposta': 'Não. O uso do e-mail pessoal para envio de marketing depende de consentimento prévio e específico do titular, conforme a LGPD. O tratamento de dados para fins comerciais exige transparência e finalidade explícita, e o titular pode revogar o consentimento a qualquer momento (art. 18, IX, LGPD). Sem autorização, o envio configura tratamento irregular e viola direitos fundamentais de privacidade e liberdade, sujeitando o controlador a sanções e obrigação de reparação de danos.', 'chunks': ['f9e4ad69', '9c7da499'], 'trecho_chave': 'revogação do consentimento, nos termos do § 5º do art. 8º desta Lei', 'percentual': ['60', '40']}";"0.92";"0.79";"0.54";"0.44";"1.00";"1.00";"maritaca"
"grafo";"O mercado pode filmar minha fila de compras e usar para análise de comportamento?";"As imagens são dados pessoais. O Art. 7º, IX permite ""legítimo interesse"" para segurança, mas análise de comportamento de compra é ""marketing"" - precisa de consentimento?";"{'resposta': 'Sim, o mercado pode filmar filas de compras para análise de comportamento, desde que informe os clientes e obtenha consentimento, conforme a LGPD. O tratamento de imagens é considerado dado pessoal (Art. 5º, I), exigindo transparência, finalidade específica e possibilidade de acesso, correção ou eliminação dos dados pelo titular. O controlador deve manter registro das operações (Art. 37) e garantir direitos de privacidade e intimidade (Art. 4º, IV). A ausência de consentimento ou de informação clara torna a prática ilegal.', 'chunks': ['e9106279', 'e419ecac'], 'trecho_chave': 'dado pessoal: informação relacionada a pessoa natural identificada ou identificável', 'percentual': ['70', '30']}";"0.76";"0.83";"0.54";"0.68";"1.00";"1.00";"maritaca"
"grafo";"Posso solicitar os dados que uma empresa tem sobre meu filho menor?";"Sim, como responsável legal. Mas a partir de quantos anos? O Art. 14 não estabelece idade mínima. E se o adolescente (16 anos) quiser manter privacidade de certas conversas?";"{'resposta': 'Sim, o responsável legal pode solicitar acesso aos dados pessoais de filho menor junto à empresa controladora, pois a LGPD assegura ao titular (representado por seu responsável) o direito de confirmação e acesso aos dados. O pedido deve ser feito formalmente à empresa, que tem obrigação de fornecer resposta clara e completa em até 15 dias, conforme art. 18, V e art. 19, §1º da LGPD. O tratamento de dados de crianças deve ocorrer no melhor interesse delas (art. 14).', 'chunks': ['a57ec09b', '4d9abb51'], 'trecho_chave': 'O tratamento de dados pessoais de crianças e adolescentes deve ser realizado em seu melhor interesse', 'percentual': ['60', '40']}";"0.70";"0.72";"0.54";"0.49";"1.00";"1.00";"maritaca"
"grafo";"A operadora de cartão de crédito pode vender minha lista de compras para anunciantes?";"É proibido sem consentimento. Mas a ""análise de crédito"" com ""parceiros"" é permitida? O Art. 7º, V permite para ""proteção do crédito"".";"{'resposta': 'Não. A operadora de cartão de crédito só pode compartilhar dados de compras para fins comerciais se houver consentimento explícito do titular, conforme a LGPD. O art. 7º, I, exige manifestação livre, informada e inequívoca do titular para tratamento de dados pessoais. Sem autorização, a venda ou compartilhamento para anunciantes é vedada, pois viola direitos fundamentais de privacidade e intimidade, além de obrigações de transparência e finalidade. O titular pode exigir acesso, correção ou eliminação dos dados, e a operadora deve informar com quem compartilhou as informações, se houver autorização.', 'chunks': ['a57ec09b', 'd157f57f'], 'trecho_chave': 'Tratamento de dados pessoais mediante fornecimento de consentimento pelo titular', 'percentual': ['70', '30']}";"0.84";"0.76";"0.54";"0.54";"1.00";"1.00";"maritaca"
"grafo";"O restaurante pode exigir CPF e nome completo para fazer reserva?";"Se é para confirmação, pode ser justificável. Mas se é para montar ""base de dados para marketing futuro"" sem consentimento claro? É ilegal.";"{'resposta': 'Sim, o restaurante pode exigir CPF e nome completo para reserva, pois atua como controlador de dados e pode coletar dados necessários para identificação e finalidade específica, conforme o princípio da necessidade da LGPD (art. 6º, III). Contudo, deve informar claramente ao titular a finalidade da coleta, garantir segurança e não utilizar os dados para fins diversos sem consentimento. O tratamento deve ser limitado ao mínimo necessário para a reserva, evitando excessos e respeitando os direitos do titular.', 'chunks': ['9c7da499', 'e9106279'], 'trecho_chave': 'limitação do tratamento ao mínimo necessário para a realização de suas finalidades', 'percentual': ['60', '40']}";"0.66";"0.91";"0.54";"0.44";"1.00";"1.00";"maritaca"
"grafo";"A imobiliária pode exigir extrato bancário de 6 meses para alugar?";"Análise de crédito é lícita (Art. 7º, V). Mas 6 meses? Seria ""proporcional""? O Art. 6º exige ""adequação"". E se o inquilino oferece fiador?";"{'resposta': 'Sim, a imobiliária pode exigir extrato bancário dos últimos seis meses para avaliar a capacidade financeira do interessado, pois o tratamento de dados pessoais para análise de crédito é permitido pelo art. 7º, X, da LGPD, desde que haja consentimento ou interesse legítimo, e que a solicitação seja proporcional e transparente, respeitando os princípios da finalidade e necessidade. O titular deve ser informado sobre a finalidade e pode solicitar esclarecimentos sobre o tratamento dos dados.', 'chunks': ['a57ec09b', '9c7da499'], 'trecho_chave': 'Art. 7º, X - para a proteção do crédito, inclusive quanto ao disposto na legislação pertinente.', 'percentual': ['70', '30']}";"0.73";"0.70";"0.54";"0.68";"1.00";"1.00";"maritaca"
"grafo";"Posso exigir que minha foto em vídeo de treinamento corporativo seja borrada?";"Pode argumentar ""direito de imagem"". Mas a empresa pode alegar ""legítimo interesse"" em manter registro educacional? O Art. 7º, IV permite para ""exercício de direitos"", mas é recíproco.";"{'resposta': 'Sim, você pode exigir a anonimização ou eliminação de sua imagem em vídeo de treinamento corporativo, pois a LGPD assegura ao titular o direito de solicitar a anonimização, bloqueio ou eliminação de dados pessoais tratados sem consentimento ou em desconformidade com a lei, mediante requisição formal ao controlador dos dados (Art. 18, IV e VI). O controlador deve atender ao pedido, salvo exceções legais específicas, como obrigação legal de conservação.', 'chunks': ['f9e4ad69', 'e9106279'], 'trecho_chave': 'anonimização, bloqueio ou eliminação de dados desnecessários, excessivos ou tratados em desconformidade com o disposto nesta Lei', 'percentual': ['70', '30']}";"0.74";"0.73";"0.55";"0.53";"1.00";"1.00";"maritaca"
"grafo";"O banco pode negar empréstimo baseado em ""dados comportamentais"" de redes sociais?";"O Art. 20 da LGPD garante direito a explicação sobre decisões automatizadas. Mas se a negativa inclui ""análise de risco baseada em perfil digital""? O banco deve revelar os critérios?";"{'resposta': 'Sim, mas com limitações. O banco pode analisar dados comportamentais de redes sociais para avaliação de risco de crédito, desde que haja transparência, finalidade específica e respeito à LGPD. O titular tem direito de solicitar revisão de decisões automatizadas que afetem seu crédito, conforme art. 20 da LGPD: “solicitar revisão, por pessoa natural, de decisões tomadas unicamente com base em tratamento automatizado de dados pessoais que afetem seus interesses”. O uso deve ser proporcional, não discriminatório e, se baseado em consentimento, este deve ser livre e informado.', 'chunks': ['d864f83b', 'a57ec09b'], 'trecho_chave': 'solicitar revisão, por pessoa natural, de decisões tomadas unicamente com base em tratamento automatizado de dados pessoais que afetem seus interesses', 'percentual': ['60', '40']}";"0.82";"0.74";"0.54";"0.68";"1.00";"1.00";"maritaca"
"grafo";"A clínica de estética pode publicar fotos ""antes e depois"" no Instagram sem autorização?";"Não, a imagem é dado sensível. Mesmo com autorização, o Art. 9º da LGPD exige ""finalidade específica"". Se a autorização foi para ""registro médico"", não cobre ""publicidade"".";"{'resposta': 'Não. A clínica de estética não pode publicar fotos “antes e depois” de clientes no Instagram para fins comerciais sem autorização expressa do titular das imagens. O tratamento de dados pessoais, incluindo imagens, exige consentimento livre, informado e inequívoco do titular para finalidade determinada, conforme art. 5º, XII, da LGPD. A ausência desse consentimento configura tratamento ilícito, violando direitos fundamentais de privacidade e imagem, sujeitando a clínica a sanções administrativas e civis.', 'resposta_completa': 'A publicação de fotos “antes e depois” de clientes em redes sociais, para fins comerciais, depende de consentimento específico, destacado e informado do titular das imagens, conforme exige o art. 5º, XII, da Lei Geral de Proteção de Dados (LGPD). O consentimento deve ser obtido para finalidade determinada, não podendo ser genérico ou implícito. Sem autorização expressa, a clínica realiza tratamento ilícito de dados pessoais (imagens), violando direitos fundamentais de privacidade, imagem e liberdade do titular (art. 4º, art. 6º e art. 18 da LGPD). A prática pode ensejar sanções administrativas (multas, bloqueio de dados) e ações civis por danos morais. Portanto, a clínica deve sempre obter autorização formal do cliente antes de divulgar qualquer imagem relacionada ao seu tratamento estético.', 'chunks': ['e9106279', 'a57ec09b'], 'trecho_chave': 'consentimento: manifestação livre, informada e inequívoca pela qual o titular concorda com tratamento de seus dados pessoais para uma finalidade determinada', 'percentual': ['70', '30']}";"0.87";"0.75";"0.54";"0.65";"1.00";"0.00";"maritaca"
"grafo";"O empregador pode exigir lista de contatos do meu celular corporativo?";"Se o celular é corporativo, tecnicamente sim. Mas se os contatos incluem médicos, terapeutas, familiares? Há ""expectativa de privacidade"" protegida?";"{'resposta': 'O empregador pode exigir acesso à lista de contatos do celular corporativo apenas se houver finalidade legítima, proporcional e previamente informada ao empregado, conforme o princípio do livre acesso e transparência previsto no art. 9º da LGPD. O titular tem direito de saber a finalidade específica do tratamento e pode questionar o excesso ou a ausência de justificativa. A exigência sem base legal ou sem consentimento específico pode violar direitos fundamentais de privacidade e intimidade, sendo passível de questionamento judicial ou administrativo perante a ANPD.', 'chunks': ['ffc54078', '4d9abb51'], 'trecho_chave': 'O titular tem direito ao acesso facilitado às informações sobre o tratamento de seus dados, que deverão ser disponibilizadas de forma clara, adequada e ostensiva acerca de, entre outras características previstas em regulamentação para o atendimento do princípio do livre acesso', 'percentual': ['70', '30']}";"0.72";"0.75";"0.54";"0.62";"1.00";"1.00";"maritaca"
"grafo";"Posso exigir que uma empresa apague logs de acesso que mostram quando entrei no prédio?";"Os logs são dados pessoais. Mas a empresa pode argumentar ""segurança patrimonial"" e ""legítimo interesse"". O prazo de retenção é discricionário.";"{'resposta': 'Sim, você pode exigir a eliminação dos logs de acesso, pois a LGPD assegura ao titular o direito de solicitar a eliminação de dados pessoais tratados com seu consentimento ou quando não houver mais necessidade legal de mantê-los. O art. 18, VI, da LGPD prevê expressamente esse direito, salvo exceções legais. O pedido deve ser formalizado à empresa controladora dos dados, que tem obrigação de atender, sem custo, desde que não haja obrigação legal de retenção. O conceito de eliminação está no art. 5º, XIV, como exclusão de dados armazenados em banco de dados.', 'chunks': ['f9e4ad69', 'e9106279'], 'trecho_chave': 'eliminação dos dados pessoais tratados com o consentimento do titular, exceto nas hipóteses previstas no art. 16 desta Lei', 'percentual': ['70', '30']}";"0.78";"0.87";"0.60";"0.56";"1.00";"1.00";"maritaca"
"grafo";"O site de e-commerce pode exigir cadastro para ver preços?";"Configura ""coleta excessiva""? O Art. 6º exige ""minimização"". Se o preço é público, exigir dados pessoais pode ser considerado ""prática abusiva"" pelo CDC.";"{'resposta': 'Sim, o site de e-commerce pode exigir cadastro para visualizar preços, desde que informe claramente ao usuário a finalidade, a necessidade e as consequências da negativa, conforme o princípio da transparência e o direito à informação previstos na LGPD. O tratamento de dados deve ser limitado ao mínimo necessário (princípio da necessidade) e o usuário deve ser informado sobre a possibilidade de não fornecer consentimento e suas consequências (art. 18, VIII, LGPD).', 'chunks': ['9c7da499', 'f9e4ad69'], 'trecho_chave': 'informação sobre a possibilidade de não fornecer consentimento e sobre as consequências da negativa', 'percentual': ['60', '40']}";"0.82";"0.92";"0.39";"0.50";"1.00";"1.00";"maritaca"
"grafo";"Posso acessar os e-mails do meu cônjuge falecido?";"A LGPD não se aplica a falecidos (lacuna legal). O Google/Facebook têm políticas próprias. O Judiciário brasileiro tem negado acesso, entendendo que viola privacidade post-mortem.";"{'resposta': 'O acesso aos e-mails de pessoa falecida depende de autorização judicial ou previsão contratual, pois a LGPD assegura a privacidade e a titularidade dos dados ao falecido, e não transfere automaticamente ao cônjuge sobrevivente. O provedor só pode fornecer acesso mediante ordem judicial ou cláusula específica no contrato de serviço, conforme o princípio da finalidade e da proteção da privacidade (art. 6º, LGPD). A solicitação deve ser fundamentada e respeitar os limites legais de proteção de dados pessoais.', 'chunks': ['9c7da499', '820509db'], 'trecho_chave': 'Art. 6º As atividades de tratamento de dados pessoais deverão observar a boa-fé e os seguintes princípios: [...] finalidade, adequação, necessidade, livre acesso, qualidade dos dados, transparência, segurança...', 'percentual': ['70', '30']}";"0.89";"0.61";"0.77";"0.68";"1.00";"1.00";"maritaca"
"grafo";"Meus pais podem solicitar meus dados de saúde mesmo eu sendo maior de idade?";"Não, sem autorização ou curatela. Mas em emergência médica? O Art. 7º, VII permite ""proteção da vida"" como base legal excepcional.";"{'resposta': 'Não. Pais não têm direito automático de acessar dados de saúde de filho maior de idade, pois a titularidade e o controle dos dados pessoais sensíveis pertencem exclusivamente ao próprio titular, conforme a LGPD. O acesso só é possível mediante consentimento expresso do titular, conforme art. 18 da LGPD, que garante ao titular o direito de acesso e controle sobre seus dados pessoais, inclusive os sensíveis, como os de saúde. A regra é a privacidade e a autonomia do titular, não havendo previsão legal para acesso por parentes sem autorização.', 'chunks': ['f9e4ad69', 'e9106279'], 'trecho_chave': 'Art. 18 O titular dos dados pessoais tem direito a obter do controlador, em relação aos dados do titular por ele tratados, a qualquer momento e mediante requisição: I - confirmação da existência de tratamento; II - acesso aos dados;', 'percentual': ['70', '30']}";"0.74";"0.65";"0.99";"0.33";"1.00";"0.80";"maritaca"
"grafo";"A empresa pode exigir dados de saúde de meus dependentes para plano de saúde corporativo?";"Para inclusão no plano, sim (obrigação contratual). Mas para ""análise de risco atuarial""? Isso é proibido pelo Art. 7º, II, ""g"" combinado com discriminação.";"{'resposta': 'A empresa só pode exigir dados de saúde de dependentes se houver consentimento específico e destacado do titular ou responsável legal, conforme o art. 11 da LGPD, ou se for indispensável para tutela da saúde, proteção da vida ou cumprimento de obrigação legal. Fora dessas hipóteses, a exigência é vedada, pois dados de saúde são sensíveis e protegidos com maior rigor. O consentimento deve ser livre, informado e para finalidade determinada, sob pena de violação dos direitos de privacidade e intimidade do titular.', 'chunks': ['b47f4387', 'a57ec09b'], 'trecho_chave': 'Art. 11: tratamento de dados pessoais sensíveis somente poderá ocorrer quando o titular ou seu responsável legal consentir, de forma específica e destacada, para finalidades específicas', 'percentual': ['60', '40']}";"0.76";"0.97";"0.54";"0.40";"1.00";"1.00";"maritaca"
"grafo";"Posso solicitar que meus dados sejam excluídos após minha morte?";"A LGPD não prevê direito ao ""esquecimento digital"" post-mortem. Mas o Art. 12 do CC permite que familiares defendam ""memória"" do falecido - interpretação controversa.";"{'resposta': 'Sim, é possível solicitar a exclusão de dados pessoais após a morte do titular, pois o art. 18 da LGPD assegura ao titular (ou seu representante legal) o direito de requerer a eliminação dos dados tratados com consentimento, salvo exceções legais. O pedido deve ser formalizado ao controlador, que é obrigado a processar a solicitação, exceto se houver obrigação legal de manutenção dos dados (art. 16 da LGPD). O direito de eliminação é parte dos direitos fundamentais de privacidade e proteção de dados garantidos pela legislação brasileira.', 'chunks': ['f9e4ad69', 'e9106279'], 'trecho_chave': 'eliminação dos dados pessoais tratados com o consentimento do titular, exceto nas hipóteses previstas no art. 16 desta Lei', 'percentual': ['70', '30']}";"0.60";"0.85";"0.03";"0.36";"1.00";"1.00";"maritaca"
"grafo";"Meu cônjuge pode acessar meus dados bancários sem autorização?";"Não, sigilo bancário (Lei Complementar 105/2001) prevalece sobre parentesco. Exceto em processo de inventário judicial.";"{'resposta': 'Não. O acesso a dados bancários por cônjuge sem autorização do titular é vedado, pois a titularidade e o direito de acesso são exclusivos do titular, conforme a LGPD. O art. 18 assegura ao titular o direito de acesso e controle sobre seus dados pessoais, e o art. 6º exige consentimento expresso para tratamento de dados. Sem autorização, o acesso configura tratamento ilícito, violando direitos fundamentais de privacidade e intimidade. O banco, como controlador, deve proteger os dados contra acessos não autorizados (art. 46).', 'chunks': ['f9e4ad69', '9c7da499', '44589f1c'], 'trecho_chave': 'Art. 18: O titular dos dados pessoais tem direito a obter do controlador... acesso aos dados', 'percentual': ['50', '30', '20']}";"0.78";"0.80";"0.55";"0.50";"1.00";"1.00";"maritaca"
"grafo";"A escola pode compartilhar notas e comportamento dos alunos com outros pais?";"Não, dados educacionais são sensíveis. Mas em caso de ""risco à segurança de outros alunos""? O Art. 7º, VII pode aplicar.";"{'resposta': 'Não. A escola, como agente de tratamento, não pode compartilhar notas e dados comportamentais de alunos com outros pais, pois tais informações são dados pessoais do titular (aluno), protegidos pela LGPD. O compartilhamento só é permitido mediante consentimento específico do titular (ou de seus representantes legais) ou em hipóteses legais estritas, como obrigação legal ou tutela da saúde, o que não se aplica à mera solicitação de outros pais. A regra central é o respeito à privacidade e à finalidade específica do tratamento, vedando divulgação a terceiros sem base legal adequada.', 'chunks': ['e9106279', 'a57ec09b'], 'trecho_chave': 'dado pessoal: informação relacionada a pessoa natural identificada ou identificável', 'percentual': ['60', '40']}";"0.73";"0.71";"0.55";"0.46";"1.00";"1.00";"maritaca"
"grafo";"Posso solicitar dados sobre meu pai biológico em adoção?";"O Art. 47 da Lei 13.709/2018 permite acesso do ""titular"", mas em adoção sigilosa o direito à identidade biológica é controverso. A Lei 12.010/2009 (Estatuto da Criança) permite acesso aos 18 anos em alguns casos.";"{'resposta': 'Sim, o adotado pode solicitar acesso a dados pessoais sobre sua origem biológica, pois a LGPD assegura ao titular o direito de obter confirmação da existência de tratamento e acesso aos seus dados pessoais, inclusive informações sobre filiação, mediante requisição formal ao controlador, conforme art. 18, I e II, e art. 19. O pedido deve ser fundamentado no direito à identidade e à origem, respeitando limites legais e de sigilo eventualmente aplicáveis ao caso concreto.', 'chunks': ['f9e4ad69', '7b6b9e10'], 'trecho_chave': 'Art. 18 O titular dos dados pessoais tem direito a obter do controlador, em relação aos dados do titular por ele tratados, a qualquer momento e mediante requisição: I - confirmação da existência de tratamento; II - acesso aos dados;', 'percentual': ['60', '40']}";"0.65";"0.86";"0.53";"0.71";"1.00";"1.00";"maritaca"
"grafo";"O hospital pode informar ao cônjuge meu diagnóstico sem minha autorização?";"Não, sigilo médico (Art. 154 do Código Penal). Exceto se o paciente for incapaz ou houver risco à vida de terceiros.";"{'resposta': 'Não. O hospital não pode informar o diagnóstico ao cônjuge sem autorização do paciente, pois o tratamento de dados pessoais sensíveis exige consentimento do titular, conforme a LGPD. O art. 27 da LGPD estabelece que o compartilhamento de dados pessoais depende de consentimento, exceto em hipóteses legais específicas, que não incluem a mera solicitação do cônjuge. O direito à privacidade e à confidencialidade médica prevalece, salvo situações excepcionais previstas em lei, como risco à vida de terceiros ou obrigação legal expressa.', 'chunks': ['898ad7f0'], 'trecho_chave': 'A comunicação ou o uso compartilhado de dados pessoais [...] dependerá de consentimento do titular, exceto nas hipóteses de dispensa de consentimento previstas nesta Lei', 'percentual': ['100']}";"0.81";"0.54";"0.55";"0.62";"1.00";"1.00";"maritaca"
"grafo";"A empresa pode exigir comprovante de vacinação dos meus filhos para liberar licença-paternidade estendida?";"Dados de saúde são sensíveis. A exigência pode ser questionável se não houver nexo com a finalidade (proteção ao recém-nascido).";"{'resposta': ""Não. A exigência de comprovante de vacinação dos filhos para concessão de licença-paternidade estendida não encontra amparo legal. A LGPD (Lei 13.709/2018) protege dados pessoais sensíveis, como saúde, e só permite seu tratamento em hipóteses restritas, como obrigação legal ou consentimento específico (art. 11, II, 'a' e 'g'). Não há norma que obrigue o empregador a exigir tal documento para fins de licença-paternidade, sendo a prática potencialmente abusiva e violadora da privacidade familiar."", 'chunks': ['b47f4387', '4d9abb51'], 'trecho_chave': 'Permissão do tratamento de dados pessoais sensíveis para cumprimento de obrigação legal ou regulatória pelo controlador', 'percentual': ['70', '30']}";"0.80";"0.62";"0.00";"0.54";"1.00";"1.00";"maritaca"
"grafo";"Posso impedir que meus herdeiros acessem minhas contas digitais após minha morte?";"A ""herança digital"" não é regulada no Brasil. Recomenda-se planejamento sucessório digital específico (testamento com senhas).";"{'resposta': 'Sim, é possível impedir que herdeiros acessem suas contas digitais após a morte, pois a LGPD assegura ao titular o direito à privacidade e à proteção de dados pessoais (Art. 1º). O titular pode dispor sobre o destino de seus dados em testamento ou por meio de instruções específicas junto às plataformas, determinando exclusão ou restrição de acesso. Contudo, a efetividade depende das políticas das plataformas e da existência de mecanismos técnicos para cumprir tais disposições, já que não há obrigação legal expressa de atendimento a essas vontades após o falecimento.', 'chunks': ['820509db', '45b210a8'], 'trecho_chave': 'Art. 1º Esta Lei dispõe sobre o tratamento de dados pessoais, inclusive nos meios digitais, com o objetivo de proteger os direitos fundamentais de liberdade e de privacidade', 'percentual': ['70', '30']}";"0.71";"0.51";"0.54";"0.68";"1.00";"1.00";"maritaca"
"grafo";"A seguradora pode exigir exame genético para contratar seguro de vida?";"O Art. 7º, II, ""g"" permite dados sensíveis para ""prevenção de fraude"", mas teste genético é excessivo e pode configurar discriminação genética.";"{'resposta': 'Não. A seguradora não pode exigir exame genético como condição para contratação de seguro de vida, pois dados genéticos são considerados dados pessoais sensíveis (art. 5º, II, LGPD) e seu tratamento só é permitido com consentimento específico e destacado para finalidades determinadas (art. 11, I, LGPD). A exigência impositiva viola a privacidade e a intimidade do titular, direitos fundamentais protegidos pela LGPD e pela Constituição. A prática só seria possível se houvesse consentimento livre, informado e específico do interessado, nunca como condição obrigatória para análise do seguro.', 'chunks': ['e9106279', 'b47f4387'], 'trecho_chave': 'dado genético ou biométrico, quando vinculado a uma pessoa natural', 'percentual': ['60', '40']}";"0.84";"0.65";"0.12";"0.46";"1.00";"1.00";"maritaca"
"grafo";"O supermercado pode me filmar enquanto faço compras?";"Sim, com base no legítimo interesse (segurança patrimonial, art. 7º, IX). Mas deve informar sobre as câmeras (transparência, art. 6º, VI) e não pode usar as imagens para fins diferentes, como análise de comportamento de consumo sem consentimento.";"{'resposta': 'Sim, o supermercado pode filmar clientes nas áreas de compras para fins de segurança e prevenção de furtos, pois trata-se de tratamento de dados pessoais para proteção patrimonial, amparado pelo legítimo interesse do controlador (art. 10, LGPD). O monitoramento deve ser proporcional, transparente e não pode expor o consumidor a situações discriminatórias ou vexatórias. O titular tem direito de saber sobre a existência do sistema e acessar seus dados, conforme princípios da finalidade, necessidade e transparência (art. 6º, LGPD).', 'chunks': ['9c7da499', '105471be'], 'trecho_chave': 'realização do tratamento para propósitos legítimos, específicos, explícitos e informados ao titular', 'percentual': ['60', '40']}";"0.80";"0.89";"0.54";"0.73";"1.00";"1.00";"maritaca"
"grafo";"Posso solicitar que fotos de meus filhos sejam removidas do site da escola?";"Sim, como responsável legal (Art. 14). Mas se foi autorizado no início do ano e agora revogou? A escola pode argumentar que já publicou e remoção é ""onerosa""?";"{'resposta': 'Sim, você pode solicitar a remoção das fotos de seus filhos do site da escola, pois, conforme o art. 17 da LGPD, o titular dos dados (ou seu responsável legal) tem direito à privacidade e à proteção de dados pessoais. O tratamento de imagens de menores exige consentimento específico e, caso não haja finalidade legítima ou o consentimento seja revogado, a escola deve eliminar os dados, conforme obrigações do art. 5º, VI e art. 18, VI da LGPD. O responsável deve formalizar o pedido à instituição.', 'chunks': ['4d9abb51', 'f9e4ad69'], 'trecho_chave': 'Toda pessoa natural tem assegurada a titularidade de seus dados pessoais e garantidos os direitos fundamentais de liberdade, de intimidade e de privacidade', 'percentual': ['60', '40']}";"0.89";"0.77";"0.54";"0.54";"1.00";"1.00";"maritaca"
"grafo";"A câmera do meu condomínio que fica na entrada pode ser acessada por qualquer morador?";"Não. O acesso às imagens deve ser restrito (princípio da necessidade) e controlado pelo responsável pelo tratamento (síndico/administradora). Disponibilizar imagens livremente a todos viola o princípio da segurança (art. 6º, VII).";"{'resposta': 'O acesso às imagens das câmeras de entrada do condomínio por qualquer morador não é automaticamente permitido. A LGPD exige que o tratamento de dados pessoais (como imagens) observe princípios como finalidade, necessidade e segurança (art. 6º e art. 46). O condomínio deve definir, em seu regulamento interno, quem pode acessar essas imagens, em quais situações e mediante quais procedimentos, garantindo a privacidade dos titulares. O acesso indiscriminado viola o direito à privacidade e pode gerar responsabilidade civil e administrativa.', 'chunks': ['44589f1c', '941201b9'], 'trecho_chave': 'Art. 46: Os agentes de tratamento devem adotar medidas de segurança, técnicas e administrativas aptas a proteger os dados pessoais de acessos não autorizados', 'percentual': ['60', '40']}";"0.87";"0.57";"0.54";"0.79";"1.00";"1.00";"maritaca"
"grafo";"Estabelecimento comercial pode usar reconhecimento facial para identificar clientes suspeitos?";"Muito arriscado. Reconhecimento facial para perfil comportamental é dado sensível. Classificar clientes como ""suspeitos"" pode configurar tratamento discriminatório (art. 6º, IX). A ViaQuatro foi condenada em 2021 por uso de reconhecimento facial sem consentimento.";"{'resposta': ""Sim, é possível, mas apenas se houver base legal adequada. O tratamento de dados biométricos (sensíveis) exige consentimento específico e destacado do titular ou enquadramento em hipóteses legais, como prevenção à fraude e segurança do titular em processos de identificação e autenticação, conforme art. 11, II, 'g', da LGPD. O estabelecimento deve garantir transparência, finalidade específica, medidas de segurança e elaborar relatório de impacto, se exigido pela ANPD, respeitando os princípios do art. 6º da LGPD."", 'chunks': ['b47f4387', '9c7da499', 'dfcc83b5'], 'trecho_chave': 'garantia da prevenção à fraude e à segurança do titular, nos processos de identificação e autenticação de cadastro em sistemas eletrônicos', 'percentual': ['60', '25', '15']}";"0.75";"0.98";"0.55";"0.49";"1.00";"1.00";"maritaca"
